ANIO_REPORT;DPA_PROVIN;DPA_DESPRO;DPA_CANTON;DPA_DESCAN;DPA_PARROQ;DPA_DESPAR;EVENTO;CAT_EVENTO;FECHA;MES;LATITUD;LONGITUD;NIVEL_INF;CALIF_EVEN;CAT_CRUCE;NAM;AREA_HA
2022;17;PICHINCHA;1701;QUITO;170175;PIFO;INCENDIO FORESTAL;Antrï¿½pi;19/9/2021;9;-0,363165945;-7,824,143,444;Nivel 1;Nivel 1;aph;PONCE PALUGUILLO;0,1
2022;17;PICHINCHA;1701;QUITO;170175;PIFO;INCENDIO FORESTAL;Antrï¿½pi;10/9/2021;9;-0,281272;-78,267,534;Nivel 1;Nivel 1;aph;PONCE PALUGUILLO;1
2022;17;PICHINCHA;1701;QUITO;170175;PIFO;INCENDIO FORESTAL;Antrï¿½pi;24/9/2021;9;-0,281272;-78,267,534;Nivel 1;Nivel 1;aph;PONCE PALUGUILLO;0,025
2022;17;PICHINCHA;1702;CAYAMBE;170252;CANGAHUA;INCENDIO FORESTAL;Antrï¿½pi;23/9/2021;9;-0,1270788;-781,672,836;Nivel 2;Nivel 2;aph;KAYAMBI;2
2022;11;LOJA;1101;LOJA;110151;CHANTACO;INCENDIO FORESTAL;Antrï¿½pi;14/9/2021;9;-3,933,188,428;-7,926,213,492;Nivel 3;Nivel 1;bvp;CUENCA DEL RIO MALACATOS EN LOJA;14
2022;7;EL ORO;705;CHILLA;70550;CHILLA;INCENDIO FORESTAL;ýpoca seca;27/8/2021;8;-3,441,606;-79,627,542;Nivel 3;Nivel 2;bvp;CASACAY;14
2022;1;AZUAY;106;PUCARA;10650;PUCARA;INCENDIO FORESTAL;Antrï¿½pi;27/9/2021;9;-3,295,237;-79,464,743;Nivel 2;Nivel 1;bvp;UZCHURRUMI, LA CADENA, PENA DORADA,  BRASIL;2
2022;1;AZUAY;104;NABON;10450;NABON;INCENDIO FORESTAL;Antrï¿½pi;5/8/2021;8;-326,765;-79,073,865;Nivel 2;Nivel 1;bvp;SUBCUENCA ALTA DEL RIO LEON Y MICROCUENCAS DE LOS RIOS SAN FELIPE DE ONA Y SHINCATA;2
2022;1;AZUAY;104;NABON;10450;NABON;INCENDIO FORESTAL;Antrï¿½pi;5/7/2021;7;-3,265,711;-78,994,297;Nivel 1;Nivel 1;bvp;SUBCUENCA ALTA DEL RIO LEON Y MICROCUENCAS DE LOS RIOS SAN FELIPE DE ONA Y SHINCATA;0,25
2022;1;AZUAY;106;PUCARA;10650;PUCARA;INCENDIO FORESTAL;Antrï¿½pi;19/11/2021;11;-3,219,648;-79,427,076;Nivel 2;Nivel 1;bvp;UZCHURRUMI, LA CADENA, PENA DORADA,  BRASIL;6
